,model_name,variance_k,normality_k,boruta_flag,vif_k,score,chosen_columns
248,model1_ensemble_rfxglr,5.0,100.0,1.0,5.0,0.5563227619429948, 10 105 204 298 481
249,model2_ensemble_rflrsvc,5.0,100.0,1.0,5.0,0.5178241670012043, 10 105 204 298 481
250,model3_ensemble_xglrsvc,5.0,100.0,1.0,5.0,0.5636692091529506, 10 105 204 298 481
251,model4_ensemble_rfxgsvc,5.0,100.0,1.0,5.0,0.5520674427940586, 10 105 204 298 481
252,model1_rf,15.0,0.0,1.0,5.0,0.569650742673625, 10  48  64 204 318
253,model2_rf,15.0,0.0,1.0,5.0,0.5736250501806504, 10  48  64 204 318
254,model3_rf,15.0,0.0,1.0,5.0,0.5969891609795264, 10  48  64 204 318
255,model1_xg,15.0,0.0,1.0,5.0,0.5873143315937375, 10  48  64 204 318
256,model2_xg,15.0,0.0,1.0,5.0,0.6189080690485749, 10  48  64 204 318
257,model3_xg,15.0,0.0,1.0,5.0,0.6087113608992372, 10  48  64 204 318
258,model4_xg,15.0,0.0,1.0,5.0,0.5862705740666398, 10  48  64 204 318
259,model5_xg,15.0,0.0,1.0,5.0,0.5872340425531914, 10  48  64 204 318
260,model1_lr,15.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
261,model2_lr,15.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
262,model3_lr,15.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
263,model1_svc,15.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
264,model2_svc,15.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
265,model3_svc,15.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
266,model1_ensemble_rfxglr,15.0,0.0,1.0,5.0,0.5882376555600161, 10  48  64 204 318
267,model2_ensemble_rflrsvc,15.0,0.0,1.0,5.0,0.5802087515054195, 10  48  64 204 318
268,model3_ensemble_xglrsvc,15.0,0.0,1.0,5.0,0.5910477719791248, 10  48  64 204 318
