,lr,n_est,max_depth,m,score,case,standardize
262,0.5,40.0,7.0,70.0,0.9486933478212997,case3,0.0
263,0.5,40.0,7.0,70.0,0.9486203466196697,case3,1.0
264,0.5,50.0,7.0,70.0,0.9519907861936284,case3,0.0
265,0.5,50.0,7.0,70.0,0.9509984459331807,case3,1.0
266,0.5,60.0,7.0,70.0,0.952785170339056,case3,0.0
267,0.5,60.0,7.0,70.0,0.953523666067038,case3,1.0
268,0.5,70.0,7.0,70.0,0.9505011462343159,case3,0.0
269,0.5,70.0,7.0,70.0,0.9489369850312249,case3,1.0
270,0.1,30.0,5.0,80.0,0.9301254695631395,case4,0.0
271,0.1,30.0,5.0,80.0,0.9301331489293364,case4,1.0
272,0.1,40.0,5.0,80.0,0.9379335482550288,case4,0.0
273,0.1,40.0,5.0,80.0,0.9381021372603702,case4,1.0
274,0.1,50.0,5.0,80.0,0.943807519390732,case4,0.0
275,0.1,50.0,5.0,80.0,0.9429016782157598,case4,1.0
276,0.1,60.0,5.0,80.0,0.9489849962159355,case4,0.0
277,0.1,60.0,5.0,80.0,0.9492457780233743,case4,1.0
278,0.1,70.0,5.0,80.0,0.9506909093329383,case4,0.0
279,0.1,70.0,5.0,80.0,0.9504687170959496,case4,1.0
280,0.3,30.0,5.0,80.0,0.9472825517218771,case4,0.0
281,0.3,30.0,5.0,80.0,0.9480186199314635,case4,1.0
282,0.3,40.0,5.0,80.0,0.9517577817981525,case4,0.0
283,0.3,40.0,5.0,80.0,0.9516683537131554,case4,1.0
284,0.3,50.0,5.0,80.0,0.9542162157426601,case4,0.0
285,0.3,50.0,5.0,80.0,0.953304143686163,case4,1.0
286,0.3,60.0,5.0,80.0,0.9592307353677552,case4,0.0
287,0.3,60.0,5.0,80.0,0.9579760941075695,case4,1.0
288,0.3,70.0,5.0,80.0,0.9576745015586111,case4,0.0
289,0.3,70.0,5.0,80.0,0.9573008352634359,case4,1.0
290,0.5,30.0,5.0,80.0,0.9529215261281114,case4,0.0
291,0.5,30.0,5.0,80.0,0.9518695330481259,case4,1.0
292,0.5,40.0,5.0,80.0,0.9539673124627679,case4,0.0
293,0.5,40.0,5.0,80.0,0.9541331907537621,case4,1.0
294,0.5,50.0,5.0,80.0,0.9535076190573116,case4,0.0
295,0.5,50.0,5.0,80.0,0.9555949824810226,case4,1.0
296,0.5,60.0,5.0,80.0,0.95522698909128,case4,0.0
297,0.5,60.0,5.0,80.0,0.9548189869511656,case4,1.0
298,0.5,70.0,5.0,80.0,0.9557573706527205,case4,0.0
299,0.5,70.0,5.0,80.0,0.9566735759809907,case4,1.0
300,0.1,30.0,6.0,80.0,0.9370172562040773,case4,0.0
301,0.1,30.0,6.0,80.0,0.9375281488021135,case4,1.0
302,0.1,40.0,6.0,80.0,0.9417478316116081,case4,0.0
303,0.1,40.0,6.0,80.0,0.9414459440302222,case4,1.0
304,0.1,50.0,6.0,80.0,0.9465550346680676,case4,0.0
305,0.1,50.0,6.0,80.0,0.9451482079119996,case4,1.0
306,0.1,60.0,6.0,80.0,0.9477450718832177,case4,0.0
307,0.1,60.0,6.0,80.0,0.9476749962898248,case4,1.0
308,0.1,70.0,6.0,80.0,0.9508112457994482,case4,0.0
309,0.1,70.0,6.0,80.0,0.9504029965094105,case4,1.0
310,0.3,30.0,6.0,80.0,0.9476080596901024,case4,0.0
